id,host_id,host_name,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month
224763,8243075,Lori,8/18/13,within a few hours,94%,f,4,Belltown,Downtown,98121,47.61386,-122.34879,Condominium,Entire home/apt,4,1,1,1,$139.00 ,102,94,f,strict_14_with_grace_period,1.1
226495,1037115,Rose And Glen,8/30/11,within an hour,100%,t,11,Whittier Heights,Ballard,98117,47.68966,-122.36839,Apartment,Entire home/apt,6,1,2,2,$170.00 ,92,90,t,strict_14_with_grace_period,1.02
226536,209571,Cheryl,8/22/10,within an hour,100%,t,2,Lawton Park,Magnolia,98199,47.6612,-122.40145,Cottage,Private room,2,1,1,1,$46.00 ,200,95,f,strict_14_with_grace_period,2.09
226677,30559,Angielena,8/9/09,within a few hours,100%,t,8,Georgetown,Other neighborhoods,98108,47.54969,-122.31868,Apartment,Private room,2,3,1,1,$55.00 ,148,96,f,moderate,1.54
229990,1201633,Wayne,9/23/11,within an hour,100%,f,2,Alki,West Seattle,98116,47.57823,-122.41181,House,Entire home/apt,9,3,2,5,$160.00 ,8,100,f,strict_14_with_grace_period,0.53
231097,990692,Paul,8/18/11,within a few hours,90%,t,1,Matthews Beach,Lake City,98125,47.70639,-122.28075,Guest suite,Private room,2,1,1,1,$54.00 ,160,98,f,moderate,1.65
233502,1215564,Danielle,9/27/11,N/A,N/A,f,2,North Admiral,West Seattle,98126,47.57327,-122.37436,House,Private room,2,1,1,1,$60.00 ,1,,f,flexible,0.01
241016,956883,Maija,8/11/11,within a few hours,100%,t,3,North Queen Anne,Queen Anne,98119,47.64329,-122.37582,House,Entire home/apt,5,1,3,3,$215.00 ,110,95,f,moderate,1.56
241032,956883,Maija,8/11/11,within a few hours,100%,t,3,West Queen Anne,Queen Anne,98119,47.63629,-122.37103,Apartment,Entire home/apt,4,1,1,1,$165.00 ,297,94,f,moderate,3.09
243885,1279637,Melody And Justin,10/11/11,N/A,N/A,f,1,Wallingford,Other neighborhoods,98105,47.67058,-122.32363,House,Entire home/apt,5,1,2,2,$125.00 ,4,95,f,strict_14_with_grace_period,0.04
251922,512084,Edwin,4/15/11,within an hour,100%,f,1,North Admiral,West Seattle,98116,47.58143,-122.39411,House,Entire home/apt,4,1,2,2,$85.00 ,235,94,f,moderate,2.45
254340,1336214,Kim,10/26/11,within an hour,100%,t,1,Phinney Ridge,Other neighborhoods,98117,47.67717,-122.36169,Apartment,Entire home/apt,2,1,1,1,$85.00 ,160,98,f,moderate,1.69
260613,1387754,Monika,11/9/11,within an hour,100%,f,2,Whittier Heights,Ballard,98117,47.68649,-122.36846,Guest suite,Entire home/apt,2,1,1,1,$100.00 ,54,98,t,moderate,0.59
261912,558743,Natalie,5/5/11,within an hour,100%,t,2,Green Lake,Other neighborhoods,98103,47.68378,-122.34201,House,Entire home/apt,4,1,2,2,$200.00 ,31,96,f,strict_14_with_grace_period,0.34
270370,1309213,Audrey&Benoit,10/18/11,N/A,N/A,f,1,North Beach/Blue Ridge,Other neighborhoods,98117,47.69818,-122.3871,House,Entire home/apt,6,2,3,3,$195.00 ,0,,f,moderate,
271509,74305,Seattle Oasis,1/27/10,within an hour,98%,t,57,Belltown,Downtown,98121,47.61578,-122.34872,Condominium,Entire home/apt,6,1,2,3,$144.00 ,71,94,f,strict_14_with_grace_period,0.83
277416,8243075,Lori,8/18/13,within a few hours,94%,f,4,Belltown,Downtown,98121,47.61607,-122.34668,Condominium,Entire home/apt,4,1,1,2,$139.00 ,119,97,f,strict_14_with_grace_period,1.26
278830,1452570,Emily,11/29/11,within an hour,100%,f,3,West Queen Anne,Queen Anne,98119,47.63292,-122.37247,House,Entire home/apt,6,2,3,3,$375.00 ,73,93,t,strict_14_with_grace_period,0.83
279209,601384,Eva,5/18/11,N/A,N/A,f,1,Loyal Heights,Ballard,98117,47.68123,-122.37971,House,Entire home/apt,2,1,1,1,$150.00 ,2,,t,strict_14_with_grace_period,0.05
281208,658155,Joe,6/2/11,within an hour,100%,t,17,Atlantic,Central Area,98144,47.5938,-122.30515,House,Entire home/apt,6,2.5,2,4,$229.00 ,164,97,t,strict_14_with_grace_period,1.77
281789,31509,David,8/13/09,within an hour,100%,t,6,Broadway,Capitol Hill,98102,47.61988,-122.31961,Bed and breakfast,Private room,2,1,1,1,$99.00 ,53,100,t,moderate,0.57
284087,721070,Suzanne,6/20/11,within an hour,100%,t,3,First Hill,Downtown,98101,47.61148,-122.32912,Condominium,Entire home/apt,6,1,2,3,$183.00 ,190,96,t,strict_14_with_grace_period,2.06
286080,74305,Seattle Oasis,1/27/10,within an hour,98%,t,57,Belltown,Downtown,98121,47.61523,-122.34703,Condominium,Entire home/apt,6,2,2,3,$182.00 ,98,95,f,strict_14_with_grace_period,1.04
299817,1545026,Anna,12/28/11,within an hour,100%,f,2,Stevens,Capitol Hill,98112,47.62388,-122.30133,House,Entire home/apt,3,1.5,2,3,$125.00 ,49,93,f,strict_14_with_grace_period,0.65
301059,74305,Seattle Oasis,1/27/10,within an hour,98%,t,57,Belltown,Downtown,98121,47.61497,-122.34855,Condominium,Entire home/apt,4,1,1,2,$94.00 ,57,98,f,strict_14_with_grace_period,0.62
303277,1204187,Kara,9/24/11,within a few hours,100%,t,4,Eastlake,Cascade,98102,47.64481,-122.32429,Condominium,Entire home/apt,2,1,2,2,$120.00 ,10,96,f,strict_14_with_grace_period,0.11
311790,1204187,Kara,9/24/11,within a few hours,100%,t,4,Eastlake,Cascade,98102,47.64642,-122.32495,Apartment,Private room,1,1,1,1,$50.00 ,4,100,f,strict_14_with_grace_period,0.05
317248,658155,Joe,6/2/11,within an hour,100%,t,17,Broadway,Capitol Hill,98102,47.62336,-122.31668,Apartment,Entire home/apt,7,2,2,4,$240.00 ,179,97,t,strict_14_with_grace_period,2.03
319768,1577903,Jen,1/7/12,N/A,N/A,f,1,Atlantic,Central Area,98144,47.59583,-122.29788,House,Entire home/apt,8,2.5,3,4,$135.00 ,5,100,f,moderate,0.05
338091,1717589,Jen,2/7/12,within an hour,100%,f,3,Broadway,Capitol Hill,98102,47.61897,-122.32421,Apartment,Entire home/apt,4,1,1,2,$165.00 ,118,93,f,strict_14_with_grace_period,1.3
340706,1015653,David,8/24/11,within a few hours,100%,f,1,Wallingford,Other neighborhoods,98103,47.65588,-122.33214,Apartment,Entire home/apt,4,1,1,1,$90.00 ,185,96,f,moderate,2.02
341454,1732181,William,2/10/12,within an hour,100%,t,3,Minor,Central Area,98122,47.61038,-122.31157,Apartment,Entire home/apt,4,1,2,2,$175.00 ,55,96,t,strict_14_with_grace_period,1.26
353039,1787819,Bryce,2/21/12,within a day,80%,t,8,First Hill,Downtown,98122,47.61367,-122.32203,Apartment,Entire home/apt,4,1,1,2,$155.00 ,54,97,f,strict_14_with_grace_period,0.61
353110,1788284,Eric,2/21/12,N/A,N/A,t,1,North Admiral,West Seattle,98116,47.58003,-122.39025,Guesthouse,Entire home/apt,5,1,1,3,$107.00 ,70,95,t,strict_14_with_grace_period,0.77
353347,791459,Western Vacation Rentals,7/7/11,within an hour,100%,f,1,Arbor Heights,West Seattle,98146,47.50509,-122.37824,House,Entire home/apt,6,1,2,3,$185.00 ,36,97,t,strict_14_with_grace_period,0.39
356248,306615,Tara,12/1/10,within a few hours,100%,t,7,Portage Bay,Capitol Hill,98102,47.65005,-122.3211,Apartment,Entire home/apt,4,1,2,2,$199.00 ,24,98,t,strict_14_with_grace_period,0.66
356608,1787819,Bryce,2/21/12,within a day,80%,t,8,First Hill,Downtown,98122,47.61304,-122.32321,Apartment,Entire home/apt,6,2,2,3,$196.00 ,119,96,f,strict_14_with_grace_period,1.34
365550,1025723,Dirk & Jaq,8/27/11,within an hour,100%,t,3,International District,Downtown,98104,47.59902,-122.32708,Loft,Private room,2,1,1,1,$125.00 ,729,95,t,strict_14_with_grace_period,7.98
368403,4186078,Trung,11/18/12,within a few hours,100%,t,1,Green Lake,Other neighborhoods,98103,47.68354,-122.33091,House,Entire home/apt,16,3,6,6,$450.00 ,33,98,f,super_strict_60,0.45
370361,1865986,Sheldon,3/5/12,within an hour,100%,t,2,Greenwood,Other neighborhoods,98117,47.68348,-122.35705,House,Private room,2,1,1,1,$85.00 ,216,99,f,moderate,2.37
380950,287962,Ian,11/15/10,N/A,N/A,f,1,Fremont,Other neighborhoods,98107,47.66623,-122.3607,House,Entire home/apt,12,2,4,5,$400.00 ,25,79,f,strict_14_with_grace_period,0.28
384797,50893,Chris,11/2/09,within a few hours,100%,t,9,Broadway,Capitol Hill,98102,47.6257,-122.32095,House,Entire home/apt,16,2.5,6,20,$499.00 ,48,97,f,strict_14_with_grace_period,0.54
387078,1121532,Kellie,9/7/11,within a few hours,94%,t,7,Broadway,Capitol Hill,98102,47.62178,-122.32379,Apartment,Entire home/apt,4,1,1,1,$119.00 ,153,96,f,strict_14_with_grace_period,1.86
387464,1938802,Jason And Susy,3/17/12,within a day,100%,f,1,Ravenna,Other neighborhoods,98115,47.67675,-122.29397,House,Entire home/apt,2,1,1,1,$93.00 ,214,98,f,flexible,2.35
392140,3313235,Leslie,8/20/12,within an hour,100%,t,1,North Beacon Hill,Beacon Hill,98144,47.58513,-122.31526,Townhouse,Private room,2,1,1,1,$72.00 ,257,98,f,moderate,2.86
392779,437055,Jyoti And Tushar,3/12/11,within a day,100%,t,1,North Beacon Hill,Beacon Hill,98144,47.57577,-122.31636,Guest suite,Entire home/apt,4,1,2,2,$112.00 ,135,96,f,moderate,1.52
408526,2034501,Vivian,3/30/12,within an hour,100%,t,2,Adams,Ballard,98107,47.67553,-122.37632,House,Entire home/apt,7,4,3,3,$218.00 ,0,,f,strict_14_with_grace_period,
413733,2057654,Michele & Ryan,4/2/12,within an hour,100%,t,2,Madrona,Central Area,98122,47.60907,-122.29613,Guest suite,Entire home/apt,6,1,2,2,$269.00 ,167,99,f,moderate,3.25
421168,2094547,Samantha & Peter,4/8/12,N/A,N/A,f,1,Greenwood,Other neighborhoods,98103,47.69922,-122.35072,Guesthouse,Private room,2,1,1,1,$71.00 ,332,97,f,flexible,3.78
430609,165390,Seth,7/13/10,within an hour,100%,t,8,Fremont,Other neighborhoods,98103,47.65925,-122.34831,House,Entire home/apt,8,2.5,3,3,$225.00 ,46,97,f,moderate,0.81
430610,165390,Seth,7/13/10,within an hour,100%,t,8,Wallingford,Other neighborhoods,98103,47.6541,-122.33851,House,Entire home/apt,8,3,3,4,$259.00 ,100,97,f,moderate,1.16
433842,2088654,Steve,4/7/12,N/A,N/A,f,1,Green Lake,Other neighborhoods,98103,47.68528,-122.34316,Apartment,Entire home/apt,2,1,1,1,$85.00 ,19,97,t,moderate,1.22
445199,2211872,Eliza,4/24/12,N/A,N/A,f,1,North Delridge,Delridge,98106,47.56966,-122.36171,House,Private room,2,1,1,1,$80.00 ,96,96,f,moderate,1.09
447488,450548,Vaibhav,3/19/11,within an hour,100%,t,2,Broadway,Capitol Hill,98102,47.61953,-122.31581,House,Private room,2,1,1,1,$120.00 ,56,94,t,moderate,0.65
447523,2222321,Deb,4/25/12,within an hour,100%,t,4,Wedgwood,Other neighborhoods,98115,47.68523,-122.28943,House,Private room,2,1,1,1,$50.00 ,194,95,f,moderate,2.2
451012,2234071,Sasan,4/27/12,N/A,N/A,f,1,Broadview,Other neighborhoods,98177,47.71352,-122.35874,House,Entire home/apt,6,2,3,4,$195.00 ,2,98,f,moderate,0.02
461234,1870781,Diana,3/6/12,within an hour,100%,t,1,Whittier Heights,Ballard,98117,47.68394,-122.37305,Apartment,Entire home/apt,2,1,1,1,$99.00 ,269,97,f,flexible,3.03
463768,1210993,Audrey,9/26/11,N/A,N/A,f,1,Sunset Hill,Ballard,98107,47.66899,-122.4028,House,Entire home/apt,5,3,4,5,$395.00 ,24,93,f,strict_14_with_grace_period,0.27
475361,2342082,Marilyn,5/10/12,within a few hours,75%,f,1,Cedar Park,Lake City,98125,47.71796,-122.29114,House,Entire home/apt,2,1,1,1,$77.00 ,116,96,f,moderate,1.32
475496,1495392,Lindsey,12/11/11,within a few hours,100%,f,2,Stevens,Capitol Hill,98112,47.62785,-122.29871,House,Entire home/apt,4,1,2,3,$200.00 ,1,97,f,moderate,0.01
490076,3921530,Ann Petrich,10/19/12,within an hour,100%,t,3,Fremont,Other neighborhoods,98103,47.6543,-122.35259,Guest suite,Entire home/apt,2,1,1,2,$80.00 ,322,94,t,moderate,4.97
490110,2403410,Alan,5/18/12,N/A,N/A,f,1,Pike-Market,Downtown,98121,47.61172,-122.34368,Condominium,Entire home/apt,2,1,1,1,$275.00 ,44,99,f,strict_14_with_grace_period,0.5
491958,2431399,Jay,5/21/12,within a few hours,100%,t,1,Columbia City,Rainier Valley,98118,47.56051,-122.27895,Apartment,Entire home/apt,4,1,1,2,$75.00 ,338,97,f,moderate,3.85
493591,2438665,Flor,5/22/12,within an hour,100%,t,4,Crown Hill,Other neighborhoods,98117,47.70295,-122.36861,House,Private room,2,1,1,2,$60.00 ,168,96,t,flexible,1.9
496074,2450062,Liza,5/23/12,within an hour,100%,f,2,Phinney Ridge,Other neighborhoods,98117,47.67805,-122.36043,Guest suite,Entire home/apt,3,1,1,1,$95.00 ,154,93,f,moderate,1.78
506542,1414691,Jordan,11/16/11,within an hour,100%,f,4,Wallingford,Other neighborhoods,98105,47.65854,-122.32582,Apartment,Entire home/apt,4,1,0,2,$95.00 ,175,96,t,moderate,1.98
513344,2450062,Liza,5/23/12,within an hour,100%,f,2,Phinney Ridge,Other neighborhoods,98117,47.67871,-122.36066,House,Entire home/apt,4,1,2,2,$120.00 ,5,100,t,strict_14_with_grace_period,0.06
522270,1037115,Rose And Glen,8/30/11,within an hour,100%,t,11,Westlake,Cascade,98109,47.63642,-122.34124,Boat,Entire home/apt,2,1,1,1,$140.00 ,37,97,f,strict_14_with_grace_period,0.43
533443,2370749,Tom,5/14/12,N/A,N/A,f,1,Riverview,Delridge,98106,47.5366,-122.35605,House,Private room,2,1,1,1,$45.00 ,282,97,f,moderate,3.2
544433,2612779,Serina,6/12/12,within an hour,100%,t,1,Lower Queen Anne,Queen Anne,98109,47.62082,-122.35634,Apartment,Entire home/apt,2,1,1,1,$95.00 ,441,97,f,moderate,5
